timestamp,price_raw,implied_prob,volume,open_interest
2025-07-30 04:00:00+00:00,70.0,0.7,480,177
2025-07-31 04:00:00+00:00,70.0,0.7,1403,1577
2025-08-01 04:00:00+00:00,67.0,0.67,2045,2413
2025-08-02 04:00:00+00:00,62.0,0.62,6756,5824
2025-08-03 04:00:00+00:00,60.0,0.6,12360,14508
2025-08-04 04:00:00+00:00,68.0,0.68,5280,16830
2025-08-05 04:00:00+00:00,70.0,0.7,39847,40766
2025-08-06 04:00:00+00:00,68.0,0.68,18132,51005
2025-08-07 04:00:00+00:00,62.0,0.62,4017,51672
2025-08-08 04:00:00+00:00,72.0,0.72,7500,55407
2025-08-09 04:00:00+00:00,66.0,0.66,7659,57990
2025-08-10 04:00:00+00:00,72.0,0.72,2831,60029
2025-08-11 04:00:00+00:00,79.0,0.79,6426,64488
2025-08-12 04:00:00+00:00,75.0,0.75,5254,66045
2025-08-13 04:00:00+00:00,75.0,0.75,8078,68348
2025-08-14 04:00:00+00:00,84.0,0.84,12872,74971
2025-08-15 04:00:00+00:00,73.0,0.73,55015,70717
2025-08-16 04:00:00+00:00,72.0,0.72,22517,65475
2025-08-17 04:00:00+00:00,70.0,0.7,890,65979
2025-08-18 04:00:00+00:00,67.0,0.67,2624,66533
2025-08-19 04:00:00+00:00,66.0,0.66,17155,58779
2025-08-20 04:00:00+00:00,63.0,0.63,13114,65939
2025-08-21 04:00:00+00:00,65.0,0.65,10511,68624
2025-08-22 04:00:00+00:00,62.0,0.62,30039,80137
2025-08-23 04:00:00+00:00,68.0,0.68,11902,84593
2025-08-24 04:00:00+00:00,66.0,0.66,5462,85716
2025-08-25 04:00:00+00:00,61.0,0.61,4378,88163
2025-08-26 04:00:00+00:00,56.0,0.56,10120,93977
2025-08-27 04:00:00+00:00,59.0,0.59,11788,100132
2025-08-28 04:00:00+00:00,57.0,0.57,1768,100449
2025-08-29 04:00:00+00:00,60.0,0.6,20544,91882
2025-08-30 04:00:00+00:00,52.0,0.52,21048,99046
2025-08-31 04:00:00+00:00,55.0,0.55,4316,100638
2025-09-01 04:00:00+00:00,52.0,0.52,4162,101393
2025-09-02 04:00:00+00:00,54.0,0.54,1352,101969
2025-09-03 04:00:00+00:00,56.0,0.56,4561,102631
2025-09-04 04:00:00+00:00,55.0,0.55,8606,106661
2025-09-05 04:00:00+00:00,54.0,0.54,1302,107102
2025-09-06 04:00:00+00:00,57.0,0.57,12933,110493
2025-09-07 04:00:00+00:00,53.0,0.53,4982,113653
2025-09-08 04:00:00+00:00,56.0,0.56,5048,116580
2025-09-09 04:00:00+00:00,53.0,0.53,11845,122691
2025-09-10 04:00:00+00:00,57.0,0.57,6429,128692
2025-09-11 04:00:00+00:00,60.0,0.6,9982,130814
2025-09-12 04:00:00+00:00,59.0,0.59,8920,132909
2025-09-13 04:00:00+00:00,64.0,0.64,8222,134957
2025-09-14 04:00:00+00:00,63.0,0.63,3957,135980
2025-09-15 04:00:00+00:00,60.0,0.6,15919,145437
2025-09-16 04:00:00+00:00,64.0,0.64,10041,150963
2025-09-17 04:00:00+00:00,61.0,0.61,6715,153345
2025-09-18 04:00:00+00:00,65.0,0.65,60192,200956
2025-09-19 04:00:00+00:00,64.0,0.64,5145,202875
2025-09-20 04:00:00+00:00,59.0,0.59,2660,203758
